private_entity,label,external_uri,confidence,source
http://semanticweb.esilv.fr/aikg/Codex,Codex,http://www.wikidata.org/entity/Q213924,1.0,api
http://semanticweb.esilv.fr/aikg/Cohen,Cohen,http://www.wikidata.org/entity/Q1158586,1.0,api
http://semanticweb.esilv.fr/aikg/Colab,Colab,http://www.wikidata.org/entity/Q124064224,1.0,api
http://semanticweb.esilv.fr/aikg/CommonCrawl,CommonCrawl,http://www.wikidata.org/entity/Q12055316,0.957,api
http://semanticweb.esilv.fr/aikg/Computer_Vision,Computer Vision,http://www.wikidata.org/entity/Q844240,1.0,api
http://semanticweb.esilv.fr/aikg/Copilot,Copilot,http://www.wikidata.org/entity/Q107214994,1.0,api
http://semanticweb.esilv.fr/aikg/Core_ML,Core ML,NEW,0.378,low_confidence
http://semanticweb.esilv.fr/aikg/DGX,DGX,NEW,0.514,low_confidence
http://semanticweb.esilv.fr/aikg/DGX_A100,DGX A100,NEW,0.0,not_found
http://semanticweb.esilv.fr/aikg/DS_1000,DS-1000,NEW,0.159,low_confidence
http://semanticweb.esilv.fr/aikg/David,David,http://www.wikidata.org/entity/Q18057751,1.0,api
http://semanticweb.esilv.fr/aikg/DeepMind,DeepMind,http://www.wikidata.org/entity/Q15733006,0.99,manual
http://semanticweb.esilv.fr/aikg/DistilBART,DistilBART,NEW,0.0,not_found
http://semanticweb.esilv.fr/aikg/DistilBERT,DistilBERT,http://www.wikidata.org/entity/Q107032059,1.0,api
http://semanticweb.esilv.fr/aikg/Docker,Docker,http://www.wikidata.org/entity/Q15206305,1.0,api
http://semanticweb.esilv.fr/aikg/EQ_Bench,EQ Bench,NEW,0.0,not_found
http://semanticweb.esilv.fr/aikg/Earthorg,Earth.org,NEW,0.0,not_found
http://semanticweb.esilv.fr/aikg/Elo,Elo,http://www.wikidata.org/entity/Q27891344,1.0,api
http://semanticweb.esilv.fr/aikg/Endpoint,Endpoint,http://www.wikidata.org/entity/Q5376583,1.0,api
http://semanticweb.esilv.fr/aikg/Evaluation,Evaluation,http://www.wikidata.org/entity/Q1379672,1.0,api
http://semanticweb.esilv.fr/aikg/Facebook,Facebook,http://www.wikidata.org/entity/Q355,1.0,api
http://semanticweb.esilv.fr/aikg/Falcon,Falcon,http://www.wikidata.org/entity/Q120224088,0.96,manual
http://semanticweb.esilv.fr/aikg/Falcon_40B,Falcon-40B,NEW,0.0,not_found
http://semanticweb.esilv.fr/aikg/Falcon_40B_Instruct,Falcon-40B-Instruct,NEW,0.0,not_found
http://semanticweb.esilv.fr/aikg/Falcon_7B,Falcon-7B,NEW,0.0,not_found
http://semanticweb.esilv.fr/aikg/Falcon_7B_Instruct,Falcon-7B-Instruct,NEW,0.0,not_found
http://semanticweb.esilv.fr/aikg/Falcon_7b,Falcon 7b,NEW,0.0,not_found
http://semanticweb.esilv.fr/aikg/Few_months,Few months,NEW,0.0,not_found
http://semanticweb.esilv.fr/aikg/Flash_Attention,Flash Attention,NEW,0.0,not_found
http://semanticweb.esilv.fr/aikg/Flash_Attention_2_utilities,"Flash Attention 2
- utilities",NEW,0.0,not_found
http://semanticweb.esilv.fr/aikg/Flax,Flax,http://www.wikidata.org/entity/Q5458244,1.0,api
http://semanticweb.esilv.fr/aikg/G,G,SKIP,0.0,skipped
http://semanticweb.esilv.fr/aikg/GKE,GKE,http://www.wikidata.org/entity/Q123031364,1.0,api
http://semanticweb.esilv.fr/aikg/GPT35,GPT3.5,http://www.wikidata.org/entity/Q126884944,0.782,api
http://semanticweb.esilv.fr/aikg/GPTQ,GPTQ,http://www.wikidata.org/entity/Q117315350,1.0,api
http://semanticweb.esilv.fr/aikg/GPT_4_Turbo,GPT-4 Turbo,NEW,0.0,not_found
http://semanticweb.esilv.fr/aikg/GPUs,GPUs,http://www.wikidata.org/entity/Q107382355,0.727,api
http://semanticweb.esilv.fr/aikg/Ganguli,Ganguli,http://www.wikidata.org/entity/Q37003922,1.0,api
http://semanticweb.esilv.fr/aikg/Gao,Gao,http://www.wikidata.org/entity/Q713706,1.0,api
http://semanticweb.esilv.fr/aikg/Gemini,Gemini,http://www.wikidata.org/entity/Q8923,1.0,api
http://semanticweb.esilv.fr/aikg/Gemma_2B,Gemma 2B,http://www.wikidata.org/entity/Q124670555,1.0,api
http://semanticweb.esilv.fr/aikg/Gemma_Instruct,Gemma Instruct,NEW,0.0,not_found
http://semanticweb.esilv.fr/aikg/Germany,Germany,http://www.wikidata.org/entity/Q183,1.0,api
http://semanticweb.esilv.fr/aikg/Git,Git,http://www.wikidata.org/entity/Q186055,1.0,api
http://semanticweb.esilv.fr/aikg/GitHub,GitHub,http://www.wikidata.org/entity/Q364,1.0,api
http://semanticweb.esilv.fr/aikg/Glaese,Glaese,http://www.wikidata.org/entity/Q36980600,0.923,api
http://semanticweb.esilv.fr/aikg/Google,Google,http://www.wikidata.org/entity/Q95,0.99,manual
http://semanticweb.esilv.fr/aikg/Google_AI_Language,Google AI Language,NEW,0.0,not_found
http://semanticweb.esilv.fr/aikg/Google_Books,Google Books,http://www.wikidata.org/entity/Q206033,1.0,api
http://semanticweb.esilv.fr/aikg/Google_Cloud,Google Cloud,http://www.wikidata.org/entity/Q125850907,1.0,api
http://semanticweb.esilv.fr/aikg/Google_Colab,Google Colab,http://www.wikidata.org/entity/Q126084995,1.0,api
http://semanticweb.esilv.fr/aikg/Google_Kubernetes_Engine,Google Kubernetes Engine,http://www.wikidata.org/entity/Q59848767,1.0,api
http://semanticweb.esilv.fr/aikg/Google_Translate,Google Translate,http://www.wikidata.org/entity/Q135622,1.0,api
http://semanticweb.esilv.fr/aikg/Gopher,Gopher,http://www.wikidata.org/entity/Q5584264,1.0,api
http://semanticweb.esilv.fr/aikg/Graphcore,Graphcore,http://www.wikidata.org/entity/Q38251361,1.0,api
http://semanticweb.esilv.fr/aikg/Guanaco,Guanaco,http://www.wikidata.org/entity/Q172886,1.0,api
http://semanticweb.esilv.fr/aikg/HBO,HBO,http://www.wikidata.org/entity/Q23633,1.0,api
http://semanticweb.esilv.fr/aikg/Habana,Habana,http://www.wikidata.org/entity/Q25087782,1.0,api
http://semanticweb.esilv.fr/aikg/Harm_de_Vries,Harm de Vries,http://www.wikidata.org/entity/Q110006229,1.0,api
http://semanticweb.esilv.fr/aikg/Havrilla,Havrilla,http://www.wikidata.org/entity/Q24088119,1.0,api
http://semanticweb.esilv.fr/aikg/Hub,Hub,http://www.wikidata.org/entity/Q25126013,1.0,api
http://semanticweb.esilv.fr/aikg/HuggingChat,HuggingChat,NEW,0.0,not_found
http://semanticweb.esilv.fr/aikg/Hugging_Chat,Hugging Chat,NEW,0.0,not_found
http://semanticweb.esilv.fr/aikg/Hugging_Face,Hugging Face,http://www.wikidata.org/entity/Q63155490,0.98,manual
http://semanticweb.esilv.fr/aikg/Hugging_Face_Blog,Hugging Face Blog,NEW,0.0,not_found
http://semanticweb.esilv.fr/aikg/Hugging_Face_Chat,Hugging Face Chat,NEW,0.0,not_found
http://semanticweb.esilv.fr/aikg/Hugging_Face_Inference_Endpoints,Hugging Face Inference Endpoints,NEW,0.0,not_found
http://semanticweb.esilv.fr/aikg/Hugging_Faces,Hugging Face's,http://www.wikidata.org/entity/Q118182434,0.867,api
http://semanticweb.esilv.fr/aikg/HumanEval,HumanEval,NEW,0.0,not_found
http://semanticweb.esilv.fr/aikg/Igor_Kotenkov,Igor Kotenkov,NEW,0.0,not_found
http://semanticweb.esilv.fr/aikg/Illustrating_Reinforcement_Learning_from_Human_Feedback,Illustrating Reinforcement Learning from Human Feedback,NEW,0.0,not_found
http://semanticweb.esilv.fr/aikg/Inference_Endpoints,Inference Endpoints,NEW,0.0,not_found
http://semanticweb.esilv.fr/aikg/Inferentia,Inferentia,http://www.wikidata.org/entity/Q3332616,0.952,api
http://semanticweb.esilv.fr/aikg/Infinity,Infinity,http://www.wikidata.org/entity/Q11838802,1.0,api
http://semanticweb.esilv.fr/aikg/Instruct,Instruct,NEW,0.432,low_confidence
http://semanticweb.esilv.fr/aikg/InstructGPT,InstructGPT,http://www.wikidata.org/entity/Q117449859,1.0,api
http://semanticweb.esilv.fr/aikg/JAX_Flax,JAX / Flax,NEW,0.0,not_found
http://semanticweb.esilv.fr/aikg/John_Schulman,John Schulman,http://www.wikidata.org/entity/Q103236782,1.0,api
http://semanticweb.esilv.fr/aikg/Jupyter,Jupyter,http://www.wikidata.org/entity/Q107381039,1.0,api
http://semanticweb.esilv.fr/aikg/KL,KL,SKIP,0.0,skipped
http://semanticweb.esilv.fr/aikg/Khanh_X_Nguyen,Khanh X. Nguyen,NEW,0.0,not_found
http://semanticweb.esilv.fr/aikg/Knox,Knox,http://www.wikidata.org/entity/Q16871486,1.0,api
http://semanticweb.esilv.fr/aikg/Kojima,Kojima,http://www.wikidata.org/entity/Q79605093,1.0,api
http://semanticweb.esilv.fr/aikg/LLM,LLM,NEW,0.411,low_confidence
http://semanticweb.esilv.fr/aikg/LLMs,LLMs,http://www.wikidata.org/entity/Q133958690,0.667,api
http://semanticweb.esilv.fr/aikg/LLaMA,LLaMA,http://www.wikidata.org/entity/Q118831653,0.99,manual
http://semanticweb.esilv.fr/aikg/LLaMA_33B,LLaMA-33B,NEW,0.0,not_found
http://semanticweb.esilv.fr/aikg/LLaMa_65B,LLaMa 65B,NEW,0.0,not_found
http://semanticweb.esilv.fr/aikg/LLama_2,LLama 2,http://www.wikidata.org/entity/Q120847029,1.0,api
http://semanticweb.esilv.fr/aikg/LM,LM,SKIP,0.0,skipped
http://semanticweb.esilv.fr/aikg/LaMDA,LaMDA,http://www.wikidata.org/entity/Q112624345,1.0,api
http://semanticweb.esilv.fr/aikg/Lambert,Lambert,http://www.wikidata.org/entity/Q19776313,1.0,api
http://semanticweb.esilv.fr/aikg/LanguageModel,Language Model,http://www.wikidata.org/entity/Q3621696,1.0,api
http://semanticweb.esilv.fr/aikg/Leandro,Leandro,http://www.wikidata.org/entity/Q5972176,1.0,api
http://semanticweb.esilv.fr/aikg/Leandro_von_Werra,Leandro von Werra,http://www.wikidata.org/entity/Q124640717,1.0,api
http://semanticweb.esilv.fr/aikg/Lewis_Tunstall,Lewis Tunstall,http://www.wikidata.org/entity/Q124640167,1.0,api
http://semanticweb.esilv.fr/aikg/Linear4bit,Linear4bit,NEW,0.0,not_found
http://semanticweb.esilv.fr/aikg/Linear8bitLt,Linear8bitLt,NEW,0.0,not_found
http://semanticweb.esilv.fr/aikg/LinkedIn,LinkedIn,http://www.wikidata.org/entity/Q213660,1.0,api
http://semanticweb.esilv.fr/aikg/Links,Links,http://www.wikidata.org/entity/Q36978172,1.0,api
http://semanticweb.esilv.fr/aikg/Llama,Llama,http://www.wikidata.org/entity/Q37126053,1.0,api
http://semanticweb.esilv.fr/aikg/Llama_2,Llama 2,http://www.wikidata.org/entity/Q120847029,1.0,api
http://semanticweb.esilv.fr/aikg/Llama_2_70B,Llama-2-70B,NEW,0.0,not_found
http://semanticweb.esilv.fr/aikg/Llama_2_7B,Llama 2 7B,NEW,0.0,not_found
http://semanticweb.esilv.fr/aikg/Llama_2_Chat,Llama 2-Chat,NEW,0.0,not_found
http://semanticweb.esilv.fr/aikg/Louis,Louis,http://www.wikidata.org/entity/Q2897866,1.0,api
http://semanticweb.esilv.fr/aikg/MIT,MIT,http://www.wikidata.org/entity/Q49108,0.98,manual
http://semanticweb.esilv.fr/aikg/MT_Bench,MT-Bench,NEW,0.15,low_confidence
http://semanticweb.esilv.fr/aikg/MacGlashan,MacGlashan,http://www.wikidata.org/entity/Q62070566,1.0,api
http://semanticweb.esilv.fr/aikg/Machine_Learnings,Machine Learning’s,http://www.wikidata.org/entity/Q121463874,0.739,api
http://semanticweb.esilv.fr/aikg/Mad_Men,Mad Men,http://www.wikidata.org/entity/Q223977,1.0,api
http://semanticweb.esilv.fr/aikg/Making_LLMs,Making LLMs,NEW,0.247,low_confidence
http://semanticweb.esilv.fr/aikg/March_2020,March 2020,http://www.wikidata.org/entity/Q55018431,1.0,api
http://semanticweb.esilv.fr/aikg/Megatron,Megatron,http://www.wikidata.org/entity/Q828473,1.0,api
http://semanticweb.esilv.fr/aikg/Megatron_Turing,Megatron-Turing,NEW,0.0,not_found
http://semanticweb.esilv.fr/aikg/Meltdown,Meltdown,http://www.wikidata.org/entity/Q3854309,1.0,api
http://semanticweb.esilv.fr/aikg/Menick,Menick,NEW,0.5,low_confidence
http://semanticweb.esilv.fr/aikg/Meta,Meta,http://www.wikidata.org/entity/Q380,0.99,manual
http://semanticweb.esilv.fr/aikg/Meta_Llama_2,Meta Llama 2,http://www.wikidata.org/entity/Q131939870,0.978,api
http://semanticweb.esilv.fr/aikg/Microsoft,Microsoft,http://www.wikidata.org/entity/Q2283,0.99,manual
http://semanticweb.esilv.fr/aikg/Mishig,Mishig,http://www.wikidata.org/entity/Q30950256,0.75,api
http://semanticweb.esilv.fr/aikg/Mistral_7B,Mistral 7B.,NEW,0.0,not_found
http://semanticweb.esilv.fr/aikg/Mixtral,Mixtral,http://www.wikidata.org/entity/Q126193488,0.887,api
http://semanticweb.esilv.fr/aikg/Mixtral_45_8e,Mixtral-45-8e,NEW,0.0,not_found
http://semanticweb.esilv.fr/aikg/Mixtral_8x7b,Mixtral 8x7b,http://www.wikidata.org/entity/Q126193488,1.0,api
http://semanticweb.esilv.fr/aikg/Mixtral_Instruct,Mixtral Instruct,NEW,0.0,not_found
http://semanticweb.esilv.fr/aikg/Mixtral_instruct,Mixtral instruct,NEW,0.0,not_found
http://semanticweb.esilv.fr/aikg/Mixture_of_Experts_Explained,Mixture of Experts Explained,NEW,0.0,not_found
http://semanticweb.esilv.fr/aikg/Morgan,Morgan,http://www.wikidata.org/entity/Q1260128,1.0,api
http://semanticweb.esilv.fr/aikg/MosaicML,MosaicML,NEW,0.0,not_found
http://semanticweb.esilv.fr/aikg/MultiPL_E,MultiPL-E,NEW,0.432,low_confidence
http://semanticweb.esilv.fr/aikg/Málaga,Málaga,http://www.wikidata.org/entity/Q8851,1.0,api
http://semanticweb.esilv.fr/aikg/NLG_530B,NLG 530B,NEW,0.0,not_found
http://semanticweb.esilv.fr/aikg/NVIDIA,NVIDIA,http://www.wikidata.org/entity/Q182477,0.99,manual
http://semanticweb.esilv.fr/aikg/Nathan,Nathan,http://www.wikidata.org/entity/Q11167678,1.0,api
http://semanticweb.esilv.fr/aikg/Natural_Language_Processing_with_Transformers,Natural Language Processing with Transformers,http://www.wikidata.org/entity/Q133539572,0.841,api
http://semanticweb.esilv.fr/aikg/New_Jersey,New Jersey,http://www.wikidata.org/entity/Q1408,1.0,api
http://semanticweb.esilv.fr/aikg/New_York_Times,New York Times,http://www.wikidata.org/entity/Q3875590,1.0,api
